LocalTime,Unnamed: 0,Temp,Hum,TempIn,HumIn,WindSpeed,WindDir,Bar,RainDay,Solar,UV,Memo
2016-12-06 16:40:00,0,,66.0,25.8,53.0,2.7,,1014.3,0.0,,,
2016-12-06 16:45:00,1,,65.0,25.8,53.0,1.8,,1014.4,0.0,,,
2016-12-06 16:50:00,2,,65.0,25.8,53.0,1.8,,1014.4,0.0,,,
2016-12-06 16:55:00,3,,65.0,25.8,53.0,1.8,,1014.4,0.0,,,
2016-12-06 17:00:00,4,,65.0,25.8,53.0,1.8,,1014.4,0.0,,,
2016-12-06 17:05:00,5,,65.0,25.8,53.0,1.8,,1014.4,0.0,,,
2016-12-06 17:10:00,6,,65.0,25.8,53.0,1.8,,1014.4,0.0,,,
2016-12-06 17:15:00,7,,,,,,,,0.0,,,
2016-12-06 17:20:00,8,,,,,,,,0.0,,,
2016-12-06 17:25:00,9,,,,,,,,0.0,,,
2016-12-06 17:30:00,10,21.8,67.0,26.0,52.0,1.3,,1014.5,0.0,0.0,0.0,
2016-12-06 17:35:00,11,21.8,67.0,26.0,52.0,1.8,,1014.5,0.0,0.0,0.0,
2016-12-06 17:40:00,12,21.8,67.0,26.0,52.0,2.2,,1014.6,0.0,0.0,0.0,
2016-12-06 17:45:00,13,21.8,67.0,26.1,52.0,2.2,,1014.7,0.0,0.0,0.0,
2016-12-06 17:50:00,14,21.7,68.0,26.2,52.0,2.2,,1014.7,0.0,0.0,0.0,
2016-12-06 17:55:00,15,21.6,68.0,26.3,52.0,1.8,,1014.8,0.0,0.0,0.0,
2016-12-06 18:00:00,16,21.6,68.0,26.4,52.0,3.6,,1014.9,0.0,0.0,0.0,
2016-12-06 18:05:00,17,21.3,67.0,26.5,52.0,2.7,,1015.0,0.0,0.0,0.0,
2016-12-06 18:10:00,18,21.3,68.0,26.6,52.0,1.3,,1015.1,0.0,0.0,0.0,
2016-12-06 18:15:00,19,21.2,68.0,26.6,52.0,2.2,,1015.3,0.0,0.0,0.0,
2016-12-06 18:20:00,20,21.2,68.0,26.7,52.0,2.7,,1015.3,0.0,0.0,0.0,
2016-12-06 18:25:00,21,21.1,69.0,26.7,52.0,2.7,,1015.5,0.0,0.0,0.0,
2016-12-06 18:30:00,22,20.9,69.0,26.8,52.0,2.2,,1015.6,0.0,0.0,0.0,
2016-12-06 18:35:00,23,20.9,69.0,26.8,52.0,2.2,,1015.6,0.0,0.0,0.0,
2016-12-06 18:40:00,24,20.8,69.0,26.8,52.0,2.7,,1015.6,0.0,0.0,0.0,
2016-12-06 18:45:00,25,20.7,70.0,26.9,52.0,2.7,,1015.7,0.0,0.0,0.0,
2016-12-06 18:50:00,26,20.7,70.0,26.9,52.0,2.2,,1015.8,0.0,0.0,0.0,
2016-12-06 18:55:00,27,20.7,70.0,26.9,52.0,0.9,,1015.8,0.0,0.0,0.0,
2016-12-06 19:00:00,28,20.7,70.0,26.9,52.0,2.2,,1015.7,0.0,0.0,0.0,
2016-12-06 19:05:00,29,20.7,70.0,27.0,52.0,1.3,,1015.7,0.0,0.0,0.0,
2016-12-06 19:10:00,30,20.8,69.0,27.0,52.0,3.1,,1015.7,0.0,0.0,0.0,
2016-12-06 19:15:00,31,20.8,69.0,27.1,51.0,2.7,,1015.8,0.0,0.0,0.0,
2016-12-06 19:20:00,32,20.8,69.0,27.1,51.0,4.0,,1015.8,0.0,0.0,0.0,
2016-12-06 19:25:00,33,20.8,69.0,27.1,51.0,1.8,,1015.9,0.0,0.0,0.0,
2016-12-06 19:30:00,34,20.8,70.0,27.1,51.0,1.3,,1015.9,0.0,0.0,0.0,
2016-12-06 19:35:00,35,20.8,70.0,27.1,51.0,2.7,,1016.0,0.0,0.0,0.0,
2016-12-06 19:40:00,36,20.8,70.0,27.1,51.0,2.7,,1016.1,0.0,0.0,0.0,
2016-12-06 19:45:00,37,20.7,70.0,27.1,51.0,4.5,,1016.2,0.0,0.0,0.0,
2016-12-06 19:50:00,38,20.6,70.0,27.1,51.0,3.6,,1016.2,0.0,0.0,0.0,
2016-12-06 19:55:00,39,20.6,70.0,27.1,51.0,0.9,,1016.2,0.0,0.0,0.0,
2016-12-06 20:00:00,40,20.5,71.0,27.1,51.0,1.8,,1016.2,0.0,0.0,0.0,
2016-12-06 20:05:00,41,20.4,71.0,27.1,51.0,0.9,,1016.3,0.0,0.0,0.0,
